Name;ISIN;Symbol;Market;Source;Notes
SOCIETE GENERALE;FR0000130809;GLE;Euronext Paris;euronext_regulated_list;
SODEXO;FR0000121220;SW;Euronext Paris;euronext_regulated_list;
SOITEC;FR0013227113;SOI;Euronext Paris;euronext_regulated_list;
SOLOCAL GROUP;FR001400SA10;LOCAL;Euronext Paris;euronext_regulated_list;
SOLUTIONS 30 SE;FR0013379484;S30;Euronext Paris;euronext_regulated_list;
SOLVAY;BE0003470755;SOLB;Euronext Paris;euronext_regulated_list;
SOPRA STERIA GROUP;FR0000050809;SOP;Euronext Paris;euronext_regulated_list;
SPIE;FR0012757854;SPIE;Euronext Paris;euronext_regulated_list;
ST DUPONT;FR0000054199;DPT;Euronext Paris;euronext_regulated_list;
STEF;FR0000064271;STF;Euronext Paris;euronext_regulated_list;
STELLANTIS NV;NL00150001Q9;STLAP;Euronext Paris;euronext_regulated_list;
STMICROELECTRONICS;NL0000226223;STMPA;Euronext Paris;euronext_regulated_list;
SWORD GROUP;FR0004180578;SWP;Euronext Paris;euronext_regulated_list;
SYNERGIE;FR0000032658;SDG;Euronext Paris;euronext_regulated_list;
TBSO;FR0000063307;TBSO;Euronext Paris;euronext_regulated_list;
TECHNIP ENERGIES;NL0014559478;TE;Euronext Paris;euronext_regulated_list;
TELEPERFORMANCE;FR0000051807;TEP;Euronext Paris;euronext_regulated_list;
TELEVERBIER;CH0008175645;TVRB;Euronext Paris;euronext_regulated_list;
TF1;FR0000054900;TFI;Euronext Paris;euronext_regulated_list;
TFF GROUP;FR0013295789;TFF;Euronext Paris;euronext_regulated_list;
THALES;FR0000121329;HO;Euronext Paris;euronext_regulated_list;
THERMADOR GROUPE;FR0013333432;THEP;Euronext Paris;euronext_regulated_list;
TIKEHAU CAPITAL;FR0013230612;TKO;Euronext Paris;euronext_regulated_list;
TITAN S.A.;BE0974338700;TITC;Euronext Paris;euronext_regulated_list;
TOTALENERGIES;FR0000120271;TTE;Euronext Paris;euronext_regulated_list;
TotalEnergiesGabon;GA0000121459;EC;Euronext Paris;euronext_regulated_list;
TOUR EIFFEL;FR0000036816;EIFF;Euronext Paris;euronext_regulated_list;
TRANSGENE;FR0005175080;TNG;Euronext Paris;euronext_regulated_list;
TRIGANO;FR0005691656;TRI;Euronext Paris;euronext_regulated_list;
UBISOFT ENTERTAIN;FR0000054470;UBI;Euronext Paris;euronext_regulated_list;
UNIBAIL-RODAMCO-WE;FR0013326246;URW;Euronext Paris;euronext_regulated_list;
UNION TECH.INFOR.;FR0000074197;FPG;Euronext Paris;euronext_regulated_list;
VALEO;FR0013176526;FR;Euronext Paris;euronext_regulated_list;
VALLOUREC;FR0013506730;VK;Euronext Paris;euronext_regulated_list;
